reference,plan,name,document-url,documentation-url,document-types
arun-local-plan-2018-24,arun-local-plan-2018,17. Natural Environment,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12863.pdf&ver=13003,https://www.arun.gov.uk/adopted-local-plan/,adoption-statement
arun-local-plan-2018-25,arun-local-plan-2018,18. Water,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12861.pdf&ver=13001,https://www.arun.gov.uk/adopted-local-plan/,adoption-statement
arun-local-plan-2018-26,arun-local-plan-2018,19. Natural Resources and'Mineral Safeguarding,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12857.pdf&ver=12997,https://www.arun.gov.uk/adopted-local-plan/,core-strategy
arun-local-plan-2018-27,arun-local-plan-2018,20. Waste management,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12858.pdf&ver=12998,https://www.arun.gov.uk/adopted-local-plan/,adoption-statement
arun-local-plan-2018-28,arun-local-plan-2018,21. Quality of the Environment,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12859.pdf&ver=12999,https://www.arun.gov.uk/adopted-local-plan/,local-development-scheme
arun-local-plan-2018-29,arun-local-plan-2018,22. Infrastructure Provision and'Implementation,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12860.pdf&ver=13000,https://www.arun.gov.uk/adopted-local-plan/,adoption-statement
arun-local-plan-2018-30,arun-local-plan-2018,23. Monitoring,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12866.pdf&ver=13006,https://www.arun.gov.uk/adopted-local-plan/,strategic-housing-market-assessment
arun-local-plan-2018-31,arun-local-plan-2018,Glossary,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12862.pdf&ver=13002,https://www.arun.gov.uk/adopted-local-plan/,sustainability-apprasial
arun-local-plan-2018-32,arun-local-plan-2018,Adoption Statement,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12541.pdf&ver=12559,https://www.arun.gov.uk/adopted-local-plan/,adoption-statement
arun-local-plan-2018-33,arun-local-plan-2018,Inspector's Report (dated 4'July 2018) into the examination of the Arun Local Plan 2011-2031,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12488.pdf&ver=12506,https://www.arun.gov.uk/adopted-local-plan/,area-action-plan
arun-local-plan-2018-34,arun-local-plan-2018,Inspector's Report Appendix Final Schedule of Main Modifications,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12489.pdf&ver=12507,https://www.arun.gov.uk/adopted-local-plan/,inspectors-report
liverpool-local-plan-2013-2033-1,liverpool-local-plan-2013-2033,Download this document: Liverpool Local Plan 2013-2033,https://liverpool.gov.uk/media/1tkbedcv/01-liverpool-local-plan-main-document.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-2,liverpool-local-plan-2013-2033,Download this document: Liverpool Local Plan 2013-2033: Appendix 1,https://liverpool.gov.uk/media/dndb5sle/02-liverpool-local-plan-appendix-1.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-3,liverpool-local-plan-2013-2033,Download this document: Liverpool Local Plan 2013-2033: Appendix 2,https://liverpool.gov.uk/media/es2aaab5/03-liverpool-local-plan-appendix-2.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-4,liverpool-local-plan-2013-2033,Download this document: Liverpool Local Plan 2013-2033: Appendix 3 and 4,https://liverpool.gov.uk/media/23bflokb/04-liverpool-local-plan-appendix-3.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-5,liverpool-local-plan-2013-2033,Download this document: Liverpool Local Plan 2013-2033: Annexes 1 and 2,https://liverpool.gov.uk/media/v5nnm0q3/05-liverpool-local-plan-annexes-1-and-2.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-6,liverpool-local-plan-2013-2033,Download this document: Adoption Statement,https://liverpool.gov.uk/media/matlgf1s/adoption-statement-v2.docx,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,adoption-statement
liverpool-local-plan-2013-2033-7,liverpool-local-plan-2013-2033,Download this document: Sustainability Appraisal incorporating Equality Impact Assessment and Health Impact Assessment of the Submission Draft Liverpool Local Plan January 2018,https://liverpool.gov.uk/media/fnyk4d4k/sa-incl-eqia-hia-of-the-submission-draft-liverpool-local-plan-january-2018.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,sustainability-apprasial
liverpool-local-plan-2013-2033-8,liverpool-local-plan-2013-2033,Download this document: Sustainability Appraisal incorporating Equality Impact Assessment and Health Impact Assessment of the Submission Draft Liverpool Local Plan: Appendices January 2018,https://liverpool.gov.uk/media/v1znjibs/sa-incl-eqia-hia-of-the-submission-draft-liverpool-local-plan-appendices-january-2018.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,sustainability-apprasial
liverpool-local-plan-2013-2033-9,liverpool-local-plan-2013-2033,"Download this document: Sustainability Appraisal incorporating Equality Impact Assessment and Health Impact Assessment of the Submission Draft Liverpool Local Plan: Non-Technical Summary, January 2018",https://liverpool.gov.uk/media/0lufeo2o/nts-of-the-sa-incl-eqia-hia-of-the-submission-draft-liverpool-local-plan-january-2018.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,strategic-flood-risk-assessment
liverpool-local-plan-2013-2033-10,liverpool-local-plan-2013-2033,"Download this document: Assessment of Main Modifications Sustainability Appraisal, Equalities Impact Assessment and Health Impact Assessment of the Main Modifications to the Liverpool Local Plan, March 2021",https://liverpool.gov.uk/media/iccjegwf/sa-of-the-main-modifications-to-the-liverpool-local-plan.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,strategic-flood-risk-assessment
liverpool-local-plan-2013-2033-11,liverpool-local-plan-2013-2033,"Download this document: Sustainability Appraisal, Equalities Impact Assessment and Health Impact Assessment of the Main Modifications to the Liverpool Local Plan: Non-Technical Summary, March 2021",https://liverpool.gov.uk/media/mjlprsxl/nts-of-the-main-modifications-to-the-liverpool-local-plan.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,strategic-flood-risk-assessment
liverpool-local-plan-2013-2033-12,liverpool-local-plan-2013-2033,Download this document: Strategic Environmental Assessment Adoption Statement,https://liverpool.gov.uk/media/coqpwiv5/liverpool-local-plan-sea-adoption-statement.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,adoption-statement
liverpool-local-plan-2013-2033-13,liverpool-local-plan-2013-2033,"Download this document: Habitats Regulations Assessment (HRA) - Main modifications, February 2021",https://liverpool.gov.uk/media/u3jjsrn4/local-plan-main-mods-hra-final-for-consultation-v2.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,strategic-flood-risk-assessment
liverpool-local-plan-2013-2033-14,liverpool-local-plan-2013-2033,Download this document: Local Plan Policies Map,https://liverpool.gov.uk/media/42aitxg2/liverpool-prop-map_lo.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-15,liverpool-local-plan-2013-2033,Download this document: Local Plan Inset Map (City Centre),https://liverpool.gov.uk/media/3fmd4ebf/liverpool-inset-map_lov3.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-16,liverpool-local-plan-2013-2033,Download this document: Report on the Examination of the Liverpool Local Plan 2013-2033,https://liverpool.gov.uk/media/wgae4hp0/liverpool-final-report.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,area-action-plan
